,submission_time,num_gpus,duration
0,0,1,31
1,0,1,1800
2,0,1,1800
3,0,1,124
4,0,1,169
5,0,1,456
6,0,1,398
7,0,1,1641
8,0,1,202
9,0,1,1800
10,0,1,1800
11,0,1,1800
12,0,1,1800
13,0,1,1800
14,1,1,351
15,1,1,1800
16,1,1,122
17,1,1,43
18,1,1,229
19,1,1,71
20,1,1,44
21,1,1,214
22,1,1,574
23,1,1,301
24,1,1,317
25,1,1,503
26,2,1,31
27,2,1,1800
28,2,1,272
29,2,1,33
30,2,1,31
31,2,1,73
32,3,1,31
33,3,1,154
34,3,1,31
35,3,1,43
36,3,1,1800
37,3,1,987
38,4,1,1800
39,4,1,869
40,4,1,1800
41,4,1,103
42,4,1,1800
43,4,2,42
44,4,1,1800
45,5,1,627
46,5,1,1800
47,5,1,1800
48,5,1,1800
49,5,1,77
50,5,1,1800
51,5,1,1800
52,5,1,122
53,6,1,52
54,6,1,223
55,6,1,127
56,6,1,284
57,6,1,43
58,6,1,1800
59,7,1,250
60,7,1,1800
61,7,1,24
62,7,1,21
63,7,1,401
64,7,1,34
65,7,1,1458
66,7,1,1800
67,7,2,27
68,7,1,21
69,7,1,273
70,7,1,21
71,7,1,21
72,8,2,163
73,8,1,1800
74,8,1,205
75,8,1,1297
76,9,1,787
77,9,1,1800
78,9,1,591
79,9,1,1800
80,9,1,1800
81,9,1,23
82,9,1,132
83,10,1,67
84,10,1,271
85,10,1,390
86,10,1,12
87,11,1,1800
88,11,4,504
89,11,1,335
90,11,1,23
91,11,1,333
92,11,1,476
93,11,1,318
94,12,1,22
95,12,1,535
96,12,1,1800
97,12,1,1800
98,12,1,22
99,12,1,317
100,12,1,22
101,12,1,51
102,12,1,466
103,12,2,645
104,12,1,326
105,13,1,1128
106,13,1,140
107,13,1,73
108,13,1,539
109,14,1,1800
110,14,1,997
111,14,1,1800
112,14,1,503
113,14,1,113
114,14,1,1800
115,14,1,123
116,15,1,33
117,15,1,1800
118,15,1,425
119,15,1,766
120,16,1,277
121,16,1,42
122,16,1,1800
123,16,1,1056
124,16,1,1800
125,16,1,717
126,16,1,1800
127,17,1,33
128,17,1,641
129,17,1,403
130,17,1,279
131,17,1,369
132,17,1,229
133,17,1,485
134,17,1,1800
135,18,1,228
136,18,4,9
137,18,1,1238
138,19,1,1800
139,19,1,182
140,19,1,1800
141,19,1,73
142,19,1,1800
143,19,1,1800
144,19,1,62
145,20,1,51
146,20,1,12
147,20,1,1800
148,20,1,71
149,21,1,51
150,21,1,1800
151,21,1,308
152,21,1,1800
153,21,1,23
154,22,1,1800
155,22,1,1574
156,22,1,233
157,22,1,1800
158,22,1,836
159,23,1,41
160,23,1,491
161,23,1,111
162,23,1,1800
163,23,1,53
164,23,1,41
165,23,1,1800
166,23,1,1800
167,24,1,294
168,24,1,12
169,24,1,1410
170,24,1,344
171,24,1,347
172,24,1,1707
173,24,1,370
174,24,1,967
175,25,1,260
176,25,1,1800
177,26,1,800
178,26,1,1060
179,26,1,1800
180,26,1,1737
181,26,1,339
182,27,1,23
183,27,1,1692
184,27,1,73
185,27,1,1800
186,27,1,22
187,27,1,1800
188,27,1,33
189,27,1,1800
190,27,1,1800
191,27,1,119
192,27,1,32
193,27,1,362
194,27,1,82
195,27,1,397
196,27,1,74
197,27,1,44
198,28,1,482
199,28,1,236
200,28,1,1800
201,28,1,384
202,28,1,1800
203,28,1,122
204,28,1,1800
205,28,1,195
206,29,1,410
207,29,1,24
208,29,1,74
209,29,1,1800
210,30,1,23
211,30,1,1800
212,30,1,203
213,30,1,1800
214,30,1,1152
215,30,1,477
216,30,1,1800
217,31,1,295
218,31,1,1800
219,32,1,1800
220,32,1,93
221,32,1,354
222,32,1,31
223,32,1,1800
224,33,1,1800
225,33,1,669
226,33,1,966
227,33,1,1800
228,33,1,1800
229,33,1,71
230,33,1,1800
231,33,1,1800
232,33,1,1800
233,33,1,1800
234,34,1,1800
235,34,1,1800
236,34,1,1800
237,34,1,133
238,34,1,32
239,34,1,1800
240,34,1,1800
241,34,1,878
242,34,1,1800
243,34,1,1800
244,34,1,1800
245,34,1,143
246,34,1,1019
247,34,1,1800
248,34,1,1800
249,34,1,1800
250,34,1,1800
251,34,1,465
252,34,1,173
253,34,1,1800
254,34,1,1800
255,34,1,1800
256,34,1,1800
257,34,1,52
258,34,1,1800
259,34,1,1800
260,34,1,1800
261,34,1,1490
262,34,1,1800
263,34,1,1800
264,34,1,1800
265,35,1,648
266,35,1,142
267,35,1,286
268,35,1,272
269,36,1,559
270,36,1,23
271,36,1,1022
272,36,1,1085
273,36,1,1800
274,36,1,122
275,38,1,658
276,38,1,1800
277,38,1,277
278,38,1,1800
279,38,1,111
280,38,1,714
281,39,1,1800
282,39,1,43
283,39,1,52
284,39,1,174
285,40,1,343
286,40,1,31
287,40,1,1800
288,40,1,104
289,41,1,329
290,41,1,1800
291,41,1,123
292,41,1,1800
293,42,1,1800
294,42,1,1800
295,42,1,1800
296,42,1,33
297,43,1,1800
298,43,1,1800
299,43,1,22
300,43,1,142
301,44,1,127
302,44,1,23
303,44,1,74
304,44,1,396
305,44,1,1140
306,44,1,1800
307,44,1,22
308,44,1,497
309,44,1,345
310,45,1,193
311,45,1,1800
312,45,1,1800
313,45,1,1445
314,45,1,1800
315,45,1,1800
316,45,1,1800
317,45,1,1800
318,45,1,1800
319,45,1,22
320,46,1,42
321,46,1,1119
322,46,8,1800
323,46,1,747
324,46,1,84
325,46,1,51
326,46,1,1501
327,46,1,1800
328,47,1,1169
329,47,1,1800
330,47,1,72
331,47,1,155
332,47,1,1800
333,47,1,22
334,47,1,1108
335,47,1,1535
336,47,1,132
337,47,1,1764
338,47,1,242
339,47,1,291
340,48,1,1800
341,48,1,23
342,48,1,152
343,48,1,193
344,48,1,1800
345,48,1,497
346,49,1,1800
347,49,1,123
348,49,1,396
349,49,1,1427
350,49,1,1800
351,49,1,1800
352,50,1,1800
353,50,1,12
354,50,1,1201
355,50,1,122
356,50,1,233
357,50,1,1800
358,50,1,31
359,50,1,1800
360,51,1,911
361,51,1,109
362,51,1,1800
363,51,1,505
364,51,1,64
365,52,1,43
366,53,1,1094
367,53,1,1800
368,53,1,73
369,53,1,1492
370,53,1,173
371,54,1,72
372,54,2,1800
373,54,1,1800
374,54,1,406
375,55,1,23
376,55,1,296
377,55,1,1800
378,55,1,133
379,55,1,1800
380,56,1,63
381,56,1,526
382,56,1,1800
383,56,1,1522
384,56,1,1800
385,56,1,1505
386,56,1,1800
387,56,1,1522
388,56,1,31
389,56,1,1800
390,57,1,24
391,57,1,358
392,57,1,22
393,57,1,43
394,57,1,1800
395,57,1,618
396,57,1,41
397,58,1,1539
398,58,1,1800
399,58,1,1800
400,58,1,1800
401,58,1,596
402,58,1,1800
403,58,1,1800
404,58,1,1800
405,58,1,1800
406,58,1,1800
407,58,1,1800
408,58,1,1800
409,58,1,1800
410,58,1,1800
411,58,1,1257
412,58,1,1800
413,58,1,1800
414,58,1,1800
415,58,1,1800
416,58,1,1800
417,58,1,1800
418,58,1,1769
419,58,1,1800
420,58,1,31
421,58,1,1800
422,58,1,1800
423,58,1,1800
424,58,1,1800
425,58,1,1800
426,58,1,1800
427,58,1,1800
428,58,1,1800
429,58,1,1800
430,58,1,1800
431,58,1,1707
432,58,1,1800
433,58,1,1800
434,58,1,1800
435,58,1,1800
436,59,1,354
437,59,1,1800
438,59,1,43
439,59,1,64
440,59,1,61
441,59,1,33
442,60,1,1800
443,60,1,124
444,60,1,112
445,60,1,1800
446,61,1,68
447,61,1,1800
448,61,1,1563
449,61,1,1773
450,61,1,1800
451,61,1,1800
452,61,1,333
453,61,1,33
454,61,1,1602
455,61,1,1635
456,61,1,265
457,61,1,1300
458,61,1,137
459,62,1,13
460,62,1,42
461,62,1,82
462,62,1,203
463,63,1,173
464,63,1,295
465,63,1,412
466,63,1,1190
467,63,1,293
468,63,1,386
469,63,1,37
470,63,1,1800
471,64,1,947
472,64,2,42
473,64,1,153
474,64,1,629
475,64,1,92
476,64,1,155
477,64,1,1800
478,65,1,346
479,65,1,83
480,65,1,1050
481,65,1,726
482,65,1,1800
483,65,1,92
484,66,1,22
485,66,1,1800
486,66,1,1800
487,66,1,1800
488,66,2,143
489,66,1,73
490,66,2,1800
491,66,1,1800
492,66,1,274
493,66,1,1800
494,66,1,46
495,66,1,417
496,67,1,1800
497,67,1,142
498,67,1,1800
499,67,1,1800
500,67,1,1800
501,68,1,22
502,68,1,84
503,68,1,324
504,69,1,1800
505,69,1,23
506,69,1,1800
507,69,1,23
508,69,1,1800
509,69,1,1800
510,69,1,1800
511,69,1,1800
512,69,1,257
513,69,1,23
514,69,1,1800
515,69,1,1800
516,69,1,61
517,70,1,1800
518,70,1,1800
519,70,1,404
520,70,1,223
521,71,1,1799
522,71,1,1627
523,71,1,1614
524,71,1,1800
525,71,1,483
526,71,4,512
527,71,1,8
528,72,1,23
529,72,1,1794
530,72,1,677
531,72,1,33
532,72,1,51
533,72,1,1800
534,72,1,1800
535,72,1,1800
536,72,1,1200
537,72,1,23
538,72,1,1283
539,72,1,51
540,72,1,1554
541,73,1,1800
542,73,1,1345
543,73,1,1800
544,73,1,1800
545,73,1,86
546,73,1,41
547,73,1,41
