HashFunction,Image,Port,Protocol,ScalingUpperBound,ScalingLowerBound,IterationMultiplier
b9386d10c889ce4ca90550f25debd35474be8d8ec0dce2cfaf3824a3276ee505,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
17ffbd427de8a2e82ce6e9dd4a5fb2be20813efd107550b5f6822f7408ae67dd,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
15fcc9f267a07593c381008efc422e13b7d3959ca4b9c5173149d1b6d21d9ca8,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
4ce9319ebc2ced61f0810357dfbbdebae0318878cf1bca5abc27ab7381a6bbfe,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
2cbc6e74c6c7f1e6946a03ee19880378010ed4f3948cdd9558df1e20a8fc2ace,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
1d869207a9d865a933ad59bb8108b086b01e4e2c6e681eeac78a4c835e4562c2,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
d044bc0fcabcdf9690f322f3c4014ce72f3460c9b513cac71f5cd678b9c5d45c,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
b93f866096cb5ed7ca770ead1b7bd5bb00bd01257725b0d3288e48ad3ddcf38d,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
f65e8cd48406d26161b5200a3d5a6e9d718d501bb2b19a76629b30f3977fe655,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
1dea6307388fcc2f18f27484fd6105786ec03bcf94b86805edd95126bef1fce7,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
f3ba4d041995763c747da84fe56923adef6c54041a2a8bfa602135ce2c713ef1,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
a3cacf8afd79649ed4b8ac16332da5391116431b5630b0362ed2cf359f52932d,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
6ebf3ebd2876e935950c7a566d8c766d134321276ce922870bfc98d53655709e,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
152cc8ccb6a697f9e9c0705eb86e6c716af7bec21241732b612428e98446a6bf,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
5c66fd258058ec458176680f6839b16221af870530d62fd9942efd7bffe13edb,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
1f0c44c6bb4a3e7a6753fe5c2364dafaec2c61ba02faed931819a1c7a5b4cc35,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
5733dec8517851767fa23d740bd9abdf284df4fa4286087213c24a2cfe95786d,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
e453fff5ffe0cc9feebcace85d9bfb2a486c21e3c30a3feb9afa788f24abe25b,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
ae6a959bddb2bd3410ddc58f61efc435847caff06a14764125a8ba3d696bef40,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
7017de4ffed83d70238483df8a219da83506626ad472d22b8cc186fde46530b6,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
91af80a966c0c568ae7ade94d52788f796fbca2dc0db168da861642a19550d84,docker.io/cvetkovic/dirigent_trace_function:latest,80,tcp,10000,0,115000
