Width,Width - Percentile,Depth,Depth - Percentile,Total Nodes,Total Nodes
1,0.00%,1,0.00%,2,0.00%
1,78.66%,1,12.51%,2,55.98%
2,92.13%,2,67.96%,3,79.20%
3,95.24%,3,86.84%,4,86.63%
4,96.17%,4,92.41%,5,91.61%
5,96.78%,5,96.00%,6,93.64%
6,97.12%,6,97.24%,7,95.90%
7,97.35%,7,99.07%,8,96.63%
8,97.57%,8,99.47%,9,96.98%
9,97.78%,9,99.59%,10,97.32%
10,98.32%,10,99.76%,11,97.89%
11,98.40%,11,99.88%,12,98.05%
12,98.44%,12,99.91%,13,98.13%
13,98.47%,13,99.93%,14,98.25%
14,98.51%,14,99.95%,15,98.32%
15,98.56%,15,99.96%,16,98.41%
16,98.85%,16,99.96%,17,98.73%
17,99.34%,17,99.96%,18,99.23%
18,99.39%,18,99.96%,19,99.29%
19,99.42%,19,99.98%,20,99.34%
20,99.44%,20,99.99%,21,99.36%
21,99.45%,21,99.99%,22,99.38%
22,99.47%,22,99.99%,23,99.40%
23,99.48%,23,99.99%,24,99.42%
24,99.49%,24,100.00%,25,99.45%
25,99.52%,25,100.00%,26,99.46%
26,99.53%,26,100.00%,27,99.47%
27,99.53%,27,100.00%,28,99.48%
28,99.54%,28,100.00%,29,99.49%
29,99.55%,29,100.00%,30,99.51%
30,99.56%,30,100.00%,31,99.51%
31,99.57%,31,100.00%,32,99.55%
32,99.60%,32,100.00%,33,99.56%
33,99.61%,33,100.00%,34,99.56%
34,99.62%,34,100.00%,35,99.57%
35,99.62%,35,100.00%,36,99.59%
36,99.62%,36,100.00%,37,99.59%
37,99.63%,37,100.00%,38,99.60%
38,99.63%,38,100.00%,39,99.61%
39,99.64%,39,100.00%,40,99.61%
40,99.64%,40,100.00%,41,99.62%
41,99.65%,41,100.00%,42,99.62%
42,99.65%,42,100.00%,43,99.63%
43,99.66%,44,100.00%,44,99.64%
44,99.66%,49,100.00%,45,99.65%
45,99.67%,58,100.00%,46,99.65%
46,99.67%,62,100.00%,47,99.66%
47,99.68%,63,100.00%,48,99.66%
48,99.68%,70,100.00%,49,99.66%
49,99.71%,80,100.00%,50,99.70%
50,99.75%,98,100.00%,51,99.74%
51,99.80%,116,100.00%,52,99.79%
52,99.81%,117,100.00%,53,99.80%
53,99.82%,135,100.00%,54,99.80%
54,99.82%,,,55,99.81%
55,99.82%,,,56,99.81%
56,99.83%,,,57,99.81%
57,99.83%,,,58,99.82%
58,99.83%,,,59,99.82%
59,99.84%,,,60,99.84%
60,99.85%,,,61,99.84%
61,99.86%,,,62,99.84%
62,99.86%,,,63,99.84%
63,99.86%,,,64,99.85%
64,99.86%,,,65,99.85%
65,99.86%,,,66,99.85%
66,99.86%,,,67,99.85%
67,99.87%,,,68,99.85%
68,99.87%,,,69,99.85%
69,99.87%,,,70,99.86%
70,99.87%,,,71,99.86%
71,99.87%,,,72,99.86%
72,99.88%,,,73,99.87%
73,99.88%,,,74,99.87%
